airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,departure_airport,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arrival_airport,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,arr_estimated,arr_estimated_utc,arr_actual,arr_actual_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,arr_estimated_ts,dep_estimated_ts,arr_actual_ts,dep_actual_ts,departure_delay,delay_category,departure_terminal,arrival_terminal
BA,BAW,BA6415,BAW6415,6415,SFO,KSFO,1,B18,2025-04-25 21:28,2025-04-26 04:28,2025-04-25 22:55,2025-04-26 05:55,2025-04-25 22:55,2025-04-26 05:55,PSP,KPSP,,10,,2025-04-25 23:03,2025-04-26 06:03,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3397,OO3397,landed,95,87,87.0,78.0,,1745647380,1745641680,1745652060.0,1745646900.0,1745652060.0,1745646900.0,87,Long Delay,1,Unknown
MY,MWG,MY3552,MWG3552,3552,MKM,WBGK,,,2025-04-26 12:20,2025-04-26 04:20,2025-04-26 13:55,2025-04-26 05:55,,,MYY,WBGR,,,,2025-04-26 13:30,2025-04-26 05:30,2025-04-26 15:05,2025-04-26 07:05,,,,,,scheduled,70,95,95.0,95.0,,1745645400,1745641200,1745651100.0,1745646900.0,,,0,On Time,Unknown,Unknown
WN,SWA,WN4500,SWA4500,4500,PDX,KPDX,,E8,2025-04-25 21:50,2025-04-26 04:50,2025-04-25 22:55,2025-04-26 05:55,2025-04-25 22:55,2025-04-26 05:55,PHX,KPHX,4,C3,2,2025-04-26 00:25,2025-04-26 07:25,2025-04-26 01:38,2025-04-26 08:38,,,,,,active,155,73,65.0,73.0,B738,1745652300,1745643000,1745656680.0,1745646900.0,,1745646900.0,65,Long Delay,Unknown,4
MH,MAS,MH3552,MAS3552,3552,MKM,WBGK,,,2025-04-26 12:20,2025-04-26 04:20,2025-04-26 13:55,2025-04-26 05:55,,,MYY,WBGR,,,,2025-04-26 13:30,2025-04-26 05:30,2025-04-26 15:05,2025-04-26 07:05,,,MY,3552,MY3552,scheduled,70,95,95.0,95.0,,1745645400,1745641200,1745651100.0,1745646900.0,,,0,On Time,Unknown,Unknown
FR,RYR,FR7522,RYR7522,7522,ALC,LEAL,,,2025-04-26 06:45,2025-04-26 04:45,2025-04-26 07:55,2025-04-26 05:55,2025-04-26 07:55,2025-04-26 05:55,EIN,EHEH,,C40,,2025-04-26 09:20,2025-04-26 07:20,2025-04-26 10:24,2025-04-26 08:24,,,,,,active,155,64,70.0,64.0,B738,1745652000,1745642700,1745655840.0,1745646900.0,,1745646900.0,70,Long Delay,Unknown,Unknown
AA,AAL,AA9417,AAL9417,9417,SFO,KSFO,1,B18,2025-04-25 21:28,2025-04-26 04:28,2025-04-25 22:55,2025-04-26 05:55,2025-04-25 22:55,2025-04-26 05:55,PSP,KPSP,,10,,2025-04-25 23:03,2025-04-26 06:03,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3397,OO3397,landed,95,87,87.0,78.0,,1745647380,1745641680,1745652060.0,1745646900.0,1745652060.0,1745646900.0,87,Long Delay,1,Unknown
OD,MXD,OD588,MXD588,588,KUL,WMKK,,,2025-04-26 11:35,2025-04-26 03:35,2025-04-26 13:55,2025-04-26 05:55,2025-04-26 13:55,2025-04-26 05:55,HDY,VTSS,,,,2025-04-26 11:50,2025-04-26 04:50,,,,,,,,landed,75,140,140.0,,,1745643000,1745638500,,1745646900.0,,1745646900.0,140,Long Delay,Unknown,Unknown
AS,ASA,AS3397,ASA3397,3397,SFO,KSFO,1,B18,2025-04-25 21:28,2025-04-26 04:28,2025-04-25 22:55,2025-04-26 05:55,2025-04-25 22:55,2025-04-26 05:55,PSP,KPSP,,10,,2025-04-25 23:03,2025-04-26 06:03,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3397,OO3397,landed,95,87,87.0,78.0,E170,1745647380,1745641680,1745652060.0,1745646900.0,1745652060.0,1745646900.0,87,Long Delay,1,Unknown
OO,SKW,OO3397,SKW3397,3397,SFO,KSFO,1,B18,2025-04-25 21:28,2025-04-26 04:28,2025-04-25 22:55,2025-04-26 05:55,2025-04-25 22:55,2025-04-26 05:55,PSP,KPSP,,10,,2025-04-25 23:03,2025-04-26 06:03,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,,,,landed,95,87,87.0,78.0,,1745647380,1745641680,1745652060.0,1745646900.0,1745652060.0,1745646900.0,87,Long Delay,1,Unknown
QR,QTR,QR2973,QTR2973,2973,SFO,KSFO,1,B18,2025-04-25 21:28,2025-04-26 04:28,2025-04-25 22:55,2025-04-26 05:55,2025-04-25 22:55,2025-04-26 05:55,PSP,KPSP,,10,,2025-04-25 23:03,2025-04-26 06:03,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3397,OO3397,landed,95,87,87.0,78.0,,1745647380,1745641680,1745652060.0,1745646900.0,1745652060.0,1745646900.0,87,Long Delay,1,Unknown
HA,HAL,HA6468,HAL6468,6468,SFO,KSFO,1,B18,2025-04-25 21:28,2025-04-26 04:28,2025-04-25 22:55,2025-04-26 05:55,2025-04-25 22:55,2025-04-26 05:55,PSP,KPSP,,10,,2025-04-25 23:03,2025-04-26 06:03,2025-04-26 00:21,2025-04-26 07:21,2025-04-26 00:21,2025-04-26 07:21,OO,3397,OO3397,landed,95,87,87.0,78.0,,1745647380,1745641680,1745652060.0,1745646900.0,1745652060.0,1745646900.0,87,Long Delay,1,Unknown
W6,WZZ,W61641,WZZ1641,1641,GDN,EPGD,,,2025-04-26 06:40,2025-04-26 04:40,2025-04-26 07:56,2025-04-26 05:56,2025-04-26 07:56,2025-04-26 05:56,EIN,EHEH,,,,2025-04-26 08:25,2025-04-26 06:25,2025-04-26 09:43,2025-04-26 07:43,,,,,,active,105,76,76.0,78.0,A321,1745648700,1745642400,1745653380.0,1745646960.0,,1745646960.0,76,Long Delay,Unknown,Unknown
W4,WMT,W45135,WMT5135,5135,TIA,LATI,,,2025-04-26 06:45,2025-04-26 04:45,2025-04-26 07:56,2025-04-26 05:56,2025-04-26 07:56,2025-04-26 05:56,EIN,EHEH,,,,2025-04-26 09:40,2025-04-26 07:40,2025-04-26 10:35,2025-04-26 08:35,,,,,,active,175,71,71.0,55.0,A321,1745653200,1745642700,1745656500.0,1745646960.0,,1745646960.0,71,Long Delay,Unknown,Unknown
LS,EXS,LS3223,EXS3223,3223,LPL,EGGP,,,2025-04-26 05:55,2025-04-26 04:55,2025-04-26 06:56,2025-04-26 05:56,2025-04-26 06:56,2025-04-26 05:56,FAO,LPFR,,,,2025-04-26 09:05,2025-04-26 08:05,2025-04-26 10:02,2025-04-26 09:02,,,,,,active,190,61,61.0,57.0,B738,1745654700,1745643300,1745658120.0,1745646960.0,,1745646960.0,61,Long Delay,Unknown,Unknown
UA,UAL,UA1564,UAL1564,1564,LAX,KLAX,7,75A,2025-04-25 18:50,2025-04-26 01:50,2025-04-25 22:57,2025-04-26 05:57,2025-04-25 22:57,2025-04-26 05:57,SFO,KSFO,3,E4,3,2025-04-25 20:19,2025-04-26 03:19,2025-04-26 00:25,2025-04-26 07:25,,,,,,landed,89,246,247.0,246.0,B38M,1745637540,1745632200,1745652300.0,1745647020.0,,1745647020.0,247,Long Delay,7,3
CM,CMP,CM1063,CMP1063,1063,LAX,KLAX,7,75A,2025-04-25 18:50,2025-04-26 01:50,2025-04-25 22:57,2025-04-26 05:57,2025-04-25 22:57,2025-04-26 05:57,SFO,KSFO,3,E4,3,2025-04-25 20:19,2025-04-26 03:19,2025-04-26 00:25,2025-04-26 07:25,,,UA,1564,UA1564,landed,89,246,247.0,246.0,,1745637540,1745632200,1745652300.0,1745647020.0,,1745647020.0,247,Long Delay,7,3
NZ,ANZ,NZ9281,ANZ9281,9281,LAX,KLAX,7,75A,2025-04-25 18:50,2025-04-26 01:50,2025-04-25 22:57,2025-04-26 05:57,2025-04-25 22:57,2025-04-26 05:57,SFO,KSFO,3,E4,3,2025-04-25 20:19,2025-04-26 03:19,2025-04-26 00:25,2025-04-26 07:25,,,UA,1564,UA1564,landed,89,246,247.0,246.0,,1745637540,1745632200,1745652300.0,1745647020.0,,1745647020.0,247,Long Delay,7,3
VA,VOZ,VA8575,VOZ8575,8575,LAX,KLAX,7,75A,2025-04-25 18:50,2025-04-26 01:50,2025-04-25 22:57,2025-04-26 05:57,2025-04-25 22:57,2025-04-26 05:57,SFO,KSFO,3,E4,3,2025-04-25 20:19,2025-04-26 03:19,2025-04-26 00:25,2025-04-26 07:25,,,UA,1564,UA1564,landed,89,246,247.0,246.0,,1745637540,1745632200,1745652300.0,1745647020.0,,1745647020.0,247,Long Delay,7,3
NH,ANA,NH7353,ANA7353,7353,LAX,KLAX,7,75A,2025-04-25 18:50,2025-04-26 01:50,2025-04-25 22:57,2025-04-26 05:57,2025-04-25 22:57,2025-04-26 05:57,SFO,KSFO,3,E4,3,2025-04-25 20:19,2025-04-26 03:19,2025-04-26 00:25,2025-04-26 07:25,,,UA,1564,UA1564,landed,89,246,247.0,246.0,,1745637540,1745632200,1745652300.0,1745647020.0,,1745647020.0,247,Long Delay,7,3
AV,AVA,AV2150,AVA2150,2150,LAX,KLAX,7,75A,2025-04-25 18:50,2025-04-26 01:50,2025-04-25 22:57,2025-04-26 05:57,2025-04-25 22:57,2025-04-26 05:57,SFO,KSFO,3,E4,3,2025-04-25 20:19,2025-04-26 03:19,2025-04-26 00:25,2025-04-26 07:25,,,UA,1564,UA1564,landed,89,246,247.0,246.0,,1745637540,1745632200,1745652300.0,1745647020.0,,1745647020.0,247,Long Delay,7,3
VJ,VJC,VJ808,VJC808,808,HKT,VTSP,,,2025-04-26 11:55,2025-04-26 04:55,2025-04-26 12:59,2025-04-26 05:59,2025-04-26 12:59,2025-04-26 05:59,SGN,VVTS,2,,,2025-04-26 13:50,2025-04-26 06:50,,,,,,,,active,115,64,64.0,,A321,1745650200,1745643300,,1745647140.0,,1745647140.0,64,Long Delay,Unknown,2
AC,ACA,AC5246,ACA5246,5246,GUA,MGGT,,11,2025-04-25 22:47,2025-04-26 04:47,2025-04-26 00:00,2025-04-26 06:00,2025-04-26 00:00,2025-04-26 06:00,EWR,KEWR,B,56,11,2025-04-26 05:35,2025-04-26 09:35,2025-04-26 06:45,2025-04-26 10:45,,,UA,258,UA258,active,288,70,73.0,70.0,,1745660100,1745642820,1745664300.0,1745647200.0,,1745647200.0,73,Long Delay,Unknown,B
UA,UAL,UA258,UAL258,258,GUA,MGGT,,11,2025-04-25 22:47,2025-04-26 04:47,2025-04-26 00:00,2025-04-26 06:00,2025-04-26 00:00,2025-04-26 06:00,EWR,KEWR,B,56,11,2025-04-26 05:35,2025-04-26 09:35,2025-04-26 06:45,2025-04-26 10:45,,,,,,active,288,70,73.0,70.0,B38M,1745660100,1745642820,1745664300.0,1745647200.0,,1745647200.0,73,Long Delay,Unknown,B
8B,TNU,8B152,TNU152,152,SIN,WSSS,2,F36,2025-04-26 11:45,2025-04-26 03:45,2025-04-26 14:00,2025-04-26 06:00,2025-04-26 14:44,2025-04-26 06:44,CGK,WIII,,,,2025-04-26 12:30,2025-04-26 05:30,,,,,,,,active,105,135,135.0,,A320,1745645400,1745639100,,1745647200.0,,1745649840.0,179,Long Delay,2,Unknown
HA,HAL,HA6451,HAL6451,6451,SFO,KSFO,1,B12,2025-04-25 21:24,2025-04-26 04:24,2025-04-25 23:02,2025-04-26 06:02,2025-04-25 23:02,2025-04-26 06:02,PDX,KPDX,,B3,2,2025-04-25 23:10,2025-04-26 06:10,2025-04-26 00:42,2025-04-26 07:42,,,QX,2081,QX2081,active,106,98,98.0,92.0,,1745647800,1745641440,1745653320.0,1745647320.0,,1745647320.0,98,Long Delay,1,Unknown
CX,CPA,CX7866,CPA7866,7866,SFO,KSFO,1,B12,2025-04-25 21:24,2025-04-26 04:24,2025-04-25 23:02,2025-04-26 06:02,2025-04-25 23:02,2025-04-26 06:02,PDX,KPDX,,B3,2,2025-04-25 23:10,2025-04-26 06:10,2025-04-26 00:42,2025-04-26 07:42,,,QX,2081,QX2081,active,106,98,98.0,92.0,,1745647800,1745641440,1745653320.0,1745647320.0,,1745647320.0,98,Long Delay,1,Unknown
QX,QXE,QX2081,QXE2081,2081,SFO,KSFO,1,B12,2025-04-25 21:24,2025-04-26 04:24,2025-04-25 23:02,2025-04-26 06:02,2025-04-25 23:02,2025-04-26 06:02,PDX,KPDX,,B3,2,2025-04-25 23:10,2025-04-26 06:10,2025-04-26 00:42,2025-04-26 07:42,,,,,,active,106,98,98.0,92.0,,1745647800,1745641440,1745653320.0,1745647320.0,,1745647320.0,98,Long Delay,1,Unknown
6E,IGO,6E5036,IGO5036,5036,DEL,VIDP,T3,34B,2025-04-26 08:00,2025-04-26 02:30,2025-04-26 11:32,2025-04-26 06:02,2025-04-26 11:32,2025-04-26 06:02,GOP,VEGK,,,,2025-04-26 09:30,2025-04-26 04:00,2025-04-26 13:02,2025-04-26 07:32,,,,,,active,90,212,212.0,212.0,,1745640000,1745634600,1745652720.0,1745647320.0,,1745647320.0,212,Long Delay,T3,Unknown
AS,ASA,AS2081,ASA2081,2081,SFO,KSFO,1,B12,2025-04-25 21:24,2025-04-26 04:24,2025-04-25 23:02,2025-04-26 06:02,2025-04-25 23:02,2025-04-26 06:02,PDX,KPDX,,B3,2,2025-04-25 23:10,2025-04-26 06:10,2025-04-26 00:42,2025-04-26 07:42,,,QX,2081,QX2081,active,106,98,98.0,92.0,E170,1745647800,1745641440,1745653320.0,1745647320.0,,1745647320.0,98,Long Delay,1,Unknown
WN,SWA,WN1903,SWA1903,1903,PHX,KPHX,4,D7,2025-04-25 21:50,2025-04-26 04:50,2025-04-25 23:02,2025-04-26 06:02,2025-04-25 23:02,2025-04-26 06:02,SAN,KSAN,1,,,2025-04-25 23:00,2025-04-26 06:00,2025-04-26 00:04,2025-04-26 07:04,2025-04-26 00:04,2025-04-26 07:04,,,,landed,70,64,72.0,64.0,B737,1745647200,1745643000,1745651040.0,1745647320.0,1745651040.0,1745647320.0,72,Long Delay,4,1
AA,AAL,AA7595,AAL7595,7595,SFO,KSFO,1,B12,2025-04-25 21:24,2025-04-26 04:24,2025-04-25 23:02,2025-04-26 06:02,2025-04-25 23:02,2025-04-26 06:02,PDX,KPDX,,B3,2,2025-04-25 23:10,2025-04-26 06:10,2025-04-26 00:42,2025-04-26 07:42,,,QX,2081,QX2081,active,106,98,98.0,92.0,,1745647800,1745641440,1745653320.0,1745647320.0,,1745647320.0,98,Long Delay,1,Unknown
QR,QTR,QR2963,QTR2963,2963,SFO,KSFO,1,B12,2025-04-25 21:24,2025-04-26 04:24,2025-04-25 23:02,2025-04-26 06:02,2025-04-25 23:02,2025-04-26 06:02,PDX,KPDX,,B3,2,2025-04-25 23:10,2025-04-26 06:10,2025-04-26 00:42,2025-04-26 07:42,,,QX,2081,QX2081,active,106,98,98.0,92.0,,1745647800,1745641440,1745653320.0,1745647320.0,,1745647320.0,98,Long Delay,1,Unknown
UA,UAL,UA5261,UAL5261,5261,DEN,KDEN,,B88,2025-04-25 21:00,2025-04-26 03:00,2025-04-26 00:03,2025-04-26 06:03,2025-04-26 00:03,2025-04-26 06:03,XWA,KXWA,,,,2025-04-25 23:54,2025-04-26 04:54,2025-04-26 02:46,2025-04-26 07:46,,,OO,5261,OO5261,active,114,172,183.0,172.0,CRJ7,1745643240,1745636400,1745653560.0,1745647380.0,,1745647380.0,183,Long Delay,Unknown,Unknown
JD,CBJ,JD607,CBJ607,607,HGH,ZSHC,,,2025-04-26 14:25,2025-04-26 06:25,2025-04-26 14:03,2025-04-26 06:03,2025-04-26 14:03,2025-04-26 06:03,SVO,UUEE,C,,1,2025-04-26 18:55,2025-04-26 15:55,2025-04-26 19:56,2025-04-26 16:56,,,,,,active,570,61,,61.0,A332,1745682900,1745648700,1745686560.0,1745647380.0,,1745647380.0,-22,,Unknown,C
F3,FAD,F3303,FAD303,303,JED,OEJN,1,,2025-04-26 07:55,2025-04-26 04:55,2025-04-26 09:03,2025-04-26 06:03,2025-04-26 09:03,2025-04-26 06:03,DMM,OEDF,,,,2025-04-26 10:00,2025-04-26 07:00,,,,,,,,active,125,68,68.0,,A20N,1745650800,1745643300,,1745647380.0,,1745647380.0,68,Long Delay,1,Unknown
HU,CHH,HU8651,CHH8651,8651,HGH,ZSHC,,,2025-04-26 14:25,2025-04-26 06:25,2025-04-26 14:03,2025-04-26 06:03,2025-04-26 14:03,2025-04-26 06:03,SVO,UUEE,C,,1,2025-04-26 18:55,2025-04-26 15:55,2025-04-26 19:56,2025-04-26 16:56,,,JD,607,JD607,active,570,61,,61.0,,1745682900,1745648700,1745686560.0,1745647380.0,,1745647380.0,-22,,Unknown,C
OO,SKW,OO5261,SKW5261,5261,DEN,KDEN,,B88,2025-04-25 21:00,2025-04-26 03:00,2025-04-26 00:03,2025-04-26 06:03,2025-04-26 00:03,2025-04-26 06:03,XWA,KXWA,,,,2025-04-25 23:54,2025-04-26 04:54,2025-04-26 02:46,2025-04-26 07:46,,,,,,active,114,172,183.0,172.0,,1745643240,1745636400,1745653560.0,1745647380.0,,1745647380.0,183,Long Delay,Unknown,Unknown
CM,CMP,CM1083,CMP1083,1083,DEN,KDEN,,B88,2025-04-25 21:00,2025-04-26 03:00,2025-04-26 00:03,2025-04-26 06:03,2025-04-26 00:03,2025-04-26 06:03,XWA,KXWA,,,,2025-04-25 23:54,2025-04-26 04:54,2025-04-26 02:46,2025-04-26 07:46,,,OO,5261,OO5261,active,114,172,183.0,172.0,,1745643240,1745636400,1745653560.0,1745647380.0,,1745647380.0,183,Long Delay,Unknown,Unknown
AV,AVA,AV218,AVA218,218,EZE,SAEZ,,,2025-04-26 01:40,2025-04-26 04:40,2025-04-26 03:04,2025-04-26 06:04,2025-04-26 03:04,2025-04-26 06:04,BOG,SKBO,1,,,2025-04-26 05:55,2025-04-26 10:55,2025-04-26 07:28,2025-04-26 12:28,,,EB,218,EB218,active,375,93,84.0,93.0,A333,1745664900,1745642400,1745670480.0,1745647440.0,,1745647440.0,84,Long Delay,Unknown,1
TK,THY,TK16,THY16,16,EZE,SAEZ,,,2025-04-25 23:55,2025-04-26 02:55,2025-04-26 03:04,2025-04-26 06:04,2025-04-26 03:04,2025-04-26 06:04,GRU,SBGR,3,,,2025-04-26 02:30,2025-04-26 05:30,2025-04-26 05:41,2025-04-26 08:41,,,,,,active,155,191,189.0,191.0,,1745645400,1745636100,1745656860.0,1745647440.0,,1745647440.0,189,Long Delay,Unknown,3
EB,PLM,EB218,PLM218,218,EZE,SAEZ,,,2025-04-26 01:40,2025-04-26 04:40,2025-04-26 03:04,2025-04-26 06:04,2025-04-26 03:04,2025-04-26 06:04,BOG,SKBO,1,,,2025-04-26 05:55,2025-04-26 10:55,2025-04-26 07:28,2025-04-26 12:28,,,,,,active,375,93,84.0,93.0,,1745664900,1745642400,1745670480.0,1745647440.0,,1745647440.0,84,Long Delay,Unknown,1
,SSQ,,SSQ2164,2164,SYD,YSSY,3,19,2025-04-26 15:05,2025-04-26 05:05,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 16:05,2025-04-26 06:05,PQQ,YPMQ,,,,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 17:02,2025-04-26 07:02,2025-04-26 17:02,2025-04-26 07:02,,,,landed,60,60,60.0,57.0,,1745647500,1745643900,1745650920.0,1745647500.0,1745650920.0,1745647500.0,60,Long Delay,3,Unknown
QF,QFA,QF2164,QFA2164,2164,SYD,YSSY,3,19,2025-04-26 15:05,2025-04-26 05:05,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 16:05,2025-04-26 06:05,PQQ,YPMQ,,,,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 17:02,2025-04-26 07:02,2025-04-26 17:02,2025-04-26 07:02,,2164,,landed,60,60,60.0,57.0,,1745647500,1745643900,1745650920.0,1745647500.0,1745650920.0,1745647500.0,60,Long Delay,3,Unknown
EK,UAE,EK5157,UAE5157,5157,SYD,YSSY,3,19,2025-04-26 15:05,2025-04-26 05:05,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 16:05,2025-04-26 06:05,PQQ,YPMQ,,,,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 17:02,2025-04-26 07:02,2025-04-26 17:02,2025-04-26 07:02,,2164,,landed,60,60,60.0,57.0,,1745647500,1745643900,1745650920.0,1745647500.0,1745650920.0,1745647500.0,60,Long Delay,3,Unknown
TR,TGW,TR8,TGW8,8,SIN,WSSS,1,C24,2025-04-26 12:00,2025-04-26 04:00,2025-04-26 14:05,2025-04-26 06:05,2025-04-26 14:05,2025-04-26 06:05,PER,YPPH,1,,,2025-04-26 17:10,2025-04-26 09:10,2025-04-26 19:22,2025-04-26 11:22,,,,,,active,310,125,125.0,132.0,B788,1745658600,1745640000,1745666520.0,1745647500.0,,1745647500.0,125,Long Delay,1,1
NZ,ANZ,NZ7086,ANZ7086,7086,SYD,YSSY,3,19,2025-04-26 15:05,2025-04-26 05:05,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 16:05,2025-04-26 06:05,PQQ,YPMQ,,,,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 17:02,2025-04-26 07:02,2025-04-26 17:02,2025-04-26 07:02,,2164,,landed,60,60,60.0,57.0,,1745647500,1745643900,1745650920.0,1745647500.0,1745650920.0,1745647500.0,60,Long Delay,3,Unknown
MU,CES,MU4164,CES4164,4164,SYD,YSSY,3,19,2025-04-26 15:05,2025-04-26 05:05,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 16:05,2025-04-26 06:05,PQQ,YPMQ,,,,2025-04-26 16:05,2025-04-26 06:05,2025-04-26 17:02,2025-04-26 07:02,2025-04-26 17:02,2025-04-26 07:02,,2164,,landed,60,60,60.0,57.0,,1745647500,1745643900,1745650920.0,1745647500.0,1745650920.0,1745647500.0,60,Long Delay,3,Unknown
SQ,SIA,SQ8492,SIA8492,8492,SIN,WSSS,1,C24,2025-04-26 12:00,2025-04-26 04:00,2025-04-26 14:05,2025-04-26 06:05,2025-04-26 14:05,2025-04-26 06:05,PER,YPPH,1,,,2025-04-26 17:10,2025-04-26 09:10,2025-04-26 19:22,2025-04-26 11:22,,,TR,8,TR8,active,310,125,125.0,132.0,,1745658600,1745640000,1745666520.0,1745647500.0,,1745647500.0,125,Long Delay,1,1
W6,WZZ,W61559,WZZ1559,1559,WAW,EPWA,,,2025-04-26 06:10,2025-04-26 04:10,2025-04-26 08:06,2025-04-26 06:06,2025-04-26 08:06,2025-04-26 06:06,TLV,LLBG,3,,,2025-04-26 10:55,2025-04-26 07:55,2025-04-26 12:12,2025-04-26 09:12,,,,,,active,225,116,116.0,77.0,,1745654100,1745640600,1745658720.0,1745647560.0,,1745647560.0,116,Long Delay,Unknown,3
CA,CCA,CA937,CCA937,937,PEK,ZBAA,3,,2025-04-26 14:00,2025-04-26 06:00,2025-04-26 14:07,2025-04-26 06:07,2025-04-26 14:07,2025-04-26 06:07,LHR,EGLL,2,,,2025-04-26 17:45,2025-04-26 16:45,2025-04-26 19:10,2025-04-26 18:10,,,,,,active,645,85,7.0,85.0,,1745685900,1745647200,1745691000.0,1745647620.0,,1745647620.0,7,On Time,3,2
TP,TAP,TP8329,TAP8329,8329,PEK,ZBAA,3,,2025-04-26 14:00,2025-04-26 06:00,2025-04-26 14:07,2025-04-26 06:07,2025-04-26 14:07,2025-04-26 06:07,LHR,EGLL,2,,,2025-04-26 17:45,2025-04-26 16:45,2025-04-26 19:10,2025-04-26 18:10,,,CA,937,CA937,active,645,85,7.0,85.0,,1745685900,1745647200,1745691000.0,1745647620.0,,1745647620.0,7,On Time,3,2
IX,AXB,IX397,AXB397,397,CCJ,VOCL,,,2025-04-26 08:50,2025-04-26 03:20,2025-04-26 11:37,2025-04-26 06:07,2025-04-26 11:37,2025-04-26 06:07,JED,OEJN,,,,2025-04-26 12:30,2025-04-26 09:30,2025-04-26 15:22,2025-04-26 12:22,,,,,,active,370,172,167.0,172.0,,1745659800,1745637600,1745670120.0,1745647620.0,,1745647620.0,167,Long Delay,Unknown,Unknown
LP,LPE,LP2462,LPE2462,2462,LIM,SPJC,,18,2025-04-26 00:05,2025-04-26 05:05,2025-04-26 01:08,2025-04-26 06:08,2025-04-26 01:08,2025-04-26 06:08,CWB,SBCT,,,,2025-04-26 06:40,2025-04-26 09:40,2025-04-26 07:26,2025-04-26 10:26,,,,,,active,275,63,63.0,46.0,,1745660400,1745643900,1745663160.0,1745647680.0,,1745647680.0,63,Long Delay,Unknown,Unknown
SA,SAA,SA9061,SAA9061,9061,ACC,DGAA,3,,2025-04-26 04:00,2025-04-26 04:00,2025-04-26 06:08,2025-04-26 06:08,2025-04-26 06:08,2025-04-26 06:08,JNB,FAOR,A,,,2025-04-26 12:00,2025-04-26 10:00,2025-04-26 14:03,2025-04-26 12:03,,,,,,active,360,123,128.0,123.0,,1745661600,1745640000,1745668980.0,1745647680.0,,1745647680.0,128,Long Delay,3,A
UA,UAL,UA5018,UAL5018,5018,DEN,KDEN,,B59,2025-04-25 21:04,2025-04-26 03:04,2025-04-26 00:08,2025-04-26 06:08,2025-04-26 00:08,2025-04-26 06:08,RIW,KRIW,,,,2025-04-25 22:20,2025-04-26 04:20,2025-04-26 01:27,2025-04-26 07:27,,,OO,5018,OO5018,active,76,184,184.0,187.0,,1745641200,1745636640,1745652420.0,1745647680.0,,1745647680.0,184,Long Delay,Unknown,Unknown
CZ,CSN,CZ345,CSN345,345,PKX,ZBAD,,,2025-04-26 14:15,2025-04-26 06:15,2025-04-26 14:08,2025-04-26 06:08,2025-04-26 14:08,2025-04-26 06:08,AMS,EHAM,,E19,,2025-04-26 18:40,2025-04-26 16:40,2025-04-26 19:53,2025-04-26 17:53,,,,,,active,625,73,,73.0,,1745685600,1745648100,1745689980.0,1745647680.0,,1745647680.0,-7,,Unknown,Unknown
OO,SKW,OO5018,SKW5018,5018,DEN,KDEN,,B59,2025-04-25 21:04,2025-04-26 03:04,2025-04-26 00:08,2025-04-26 06:08,2025-04-26 00:08,2025-04-26 06:08,RIW,KRIW,,,,2025-04-25 22:20,2025-04-26 04:20,2025-04-26 01:27,2025-04-26 07:27,,,,,,active,76,184,184.0,187.0,CRJ2,1745641200,1745636640,1745652420.0,1745647680.0,,1745647680.0,184,Long Delay,Unknown,Unknown
LA,LAN,LA2462,LAN2462,2462,LIM,SPJC,,18,2025-04-26 00:05,2025-04-26 05:05,2025-04-26 01:08,2025-04-26 06:08,2025-04-26 01:08,2025-04-26 06:08,CWB,SBCT,,,,2025-04-26 06:40,2025-04-26 09:40,2025-04-26 07:26,2025-04-26 10:26,,,LP,2462,LP2462,active,275,63,63.0,46.0,A320,1745660400,1745643900,1745663160.0,1745647680.0,,1745647680.0,63,Long Delay,Unknown,Unknown
WN,SWA,WN236,SWA236,236,DEN,KDEN,,,2025-04-25 21:40,2025-04-26 03:40,2025-04-26 00:09,2025-04-26 06:09,2025-04-26 00:09,2025-04-26 06:09,GEG,KGEG,,,,2025-04-25 23:00,2025-04-26 06:00,2025-04-26 01:17,2025-04-26 08:17,,,,,,active,140,137,149.0,137.0,B38M,1745647200,1745638800,1745655420.0,1745647740.0,,1745647740.0,149,Long Delay,Unknown,Unknown
